date,year,month,visitor_arrivals,hotel_occupancy,google_trends
2015-01-01,2015,1,2613700.0,72.7,89
2015-02-01,2015,2,2664220.0,71.99,84
2015-03-01,2015,3,2555360.0,68.31,80
2015-04-01,2015,4,2406730.0,68.29,74
2015-05-01,2015,5,2301630.0,61.69,76
2015-06-01,2015,6,2269520.0,59.71,73
2015-07-01,2015,7,2641510.0,59.71,87
2015-08-01,2015,8,2589650.0,58.58,100
2015-09-01,2015,9,2044660.0,57.13,91
2015-10-01,2015,10,2245840.0,63.42,87
2015-11-01,2015,11,2566080.0,66.89,88
2015-12-01,2015,12,3024290.0,73.04,88
2016-01-01,2016,1,2996440.0,74.51,95
2016-02-01,2016,2,3080540.0,73.12,88
2016-03-01,2016,3,2927230.0,70.59,93
2016-04-01,2016,4,2627810.0,71.43,80
2016-05-01,2016,5,2459090.0,64.97,78
2016-06-01,2016,6,2423000.0,62.63,77
2016-07-01,2016,7,2949100.0,62.74,85
2016-08-01,2016,8,2883590.0,62.54,79
2016-09-01,2016,9,2416820.0,60.43,75
2016-10-01,2016,10,2252780.0,60.89,82
2016-11-01,2016,11,2452460.0,66.75,83
2016-12-01,2016,12,3060740.0,73.28,86
2017-01-01,2017,1,3197050.0,76.27,97
2017-02-01,2017,2,2966520.0,73.71,87
2017-03-01,2017,3,3018410.0,71.45,85
2017-04-01,2017,4,2853290.0,72.57,77
2017-05-01,2017,5,2600620.0,66.05,77
2017-06-01,2017,6,2731070.0,63.6,78
2017-07-01,2017,7,3099410.0,64.15,84
2017-08-01,2017,8,3188150.0,65.15,80
2017-09-01,2017,9,2600280.0,63.37,79
2017-10-01,2017,10,2725940.0,63.61,78
2017-11-01,2017,11,3039570.0,70.0,90
2017-12-01,2017,12,3571660.0,76.49,87
2018-01-01,2018,1,3531480.0,79.56,98
2018-02-01,2018,2,3552120.0,77.95,84
2018-03-01,2018,3,3494650.0,75.49,87
2018-04-01,2018,4,3096070.0,76.4,71
2018-05-01,2018,5,2737830.0,68.72,71
2018-06-01,2018,6,3013300.0,65.99,72
2018-07-01,2018,7,3177090.0,65.17,79
2018-08-01,2018,8,3229030.0,66.01,78
2018-09-01,2018,9,2636120.0,63.69,72
2018-10-01,2018,10,2704000.0,65.31,76
2018-11-01,2018,11,3171000.0,71.72,80
2018-12-01,2018,12,3835510.0,77.91,81
2019-01-01,2019,1,3713170.0,80.94,95
2019-02-01,2019,2,3600920.0,78.71,80
2019-03-01,2019,3,3478690.0,74.27,79
2019-04-01,2019,4,3216930.0,73.86,74
2019-05-01,2019,5,2736600.0,66.6,68
2019-06-01,2019,6,3056700.0,63.72,72
2019-07-01,2019,7,3342750.0,65.27,81
2019-08-01,2019,8,3472660.0,62.77,78
2019-09-01,2019,9,2890040.0,62.65,78
2019-10-01,2019,10,3074100.0,65.96,74
2019-11-01,2019,11,3386370.0,70.2,84
2019-12-01,2019,12,3947340.0,75.97,87
2020-01-01,2020,1,3810160.0,76.51,89
2020-02-01,2020,2,2061989.9999999998,57.06,63
2020-03-01,2020,3,819430.0,23.34,44
2020-04-01,2020,4,0.0,2.53,19
2020-05-01,2020,5,0.0,3.9,19
2020-06-01,2020,6,0.0,12.93,21
2020-07-01,2020,7,0.0,26.43,21
2020-08-01,2020,8,0.0,27.73,19
2020-09-01,2020,9,0.0,28.02,19
2020-10-01,2020,10,1200.0,29.86,19
2020-11-01,2020,11,3070.0,33.57,19
2020-12-01,2020,12,6560.0,30.25,19
2021-01-01,2021,1,7690.0,13.16,17
2021-02-01,2021,2,5740.0,18.17,16
2021-03-01,2021,3,6740.0,22.38,19
2021-04-01,2021,4,8530.0,14.06,18
2021-05-01,2021,5,6050.0,4.7,15
2021-06-01,2021,6,5690.0,5.25,15
2021-07-01,2021,7,18060.0,6.77,14
2021-08-01,2021,8,15110.0,6.6,14
2021-09-01,2021,9,12240.0,11.06,15
2021-10-01,2021,10,20270.0,17.03,21
2021-11-01,2021,11,91260.0,24.19,24
2021-12-01,2021,12,230500.0,36.27,25
2022-01-01,2022,1,128220.0,36.25,24
2022-02-01,2022,2,151790.0,36.29,27
2022-03-01,2022,3,208100.0,36.91,32
2022-04-01,2022,4,287510.0,40.18,37
2022-05-01,2022,5,508180.0,40.05,43
2022-06-01,2022,6,768970.0,41.94,48
2022-07-01,2022,7,1134930.0,47.56,53
2022-08-01,2022,8,1188220.0,47.83,52
2022-09-01,2022,9,1259270.0,49.66,52
2022-10-01,2022,10,1467370.0,52.62,58
2022-11-01,2022,11,1721490.0,63.32,60
2022-12-01,2022,12,2241180.0,67.34,59
2023-01-01,2023,1,2144950.0,68.0,69
2023-02-01,2023,2,2113550.0,66.84,66
2023-03-01,2023,3,2269730.0,66.21,59
2023-04-01,2023,4,2182100.0,69.41,56
2023-05-01,2023,5,2013850.0,64.43,55
2023-06-01,2023,6,2241200.0,64.51,56
2023-07-01,2023,7,2490640.0,65.92,62
2023-08-01,2023,8,2468040.0,66.7,62
2023-09-01,2023,9,2130600.0,64.51,56
2023-10-01,2023,10,2197020.0,65.99,58
2023-11-01,2023,11,2637080.0,70.44,62
2023-12-01,2023,12,3261260.0,75.0,67
2024-01-01,2024,1,3035300.0,74.64,77
2024-02-01,2024,2,3352300.0,74.13,70
2024-03-01,2024,3,2982720.0,71.37,62
2024-04-01,2024,4,2757130.0,73.71,60
2024-05-01,2024,5,2633460.0,68.92,59
2024-06-01,2024,6,2740370.0,67.51,60
2024-07-01,2024,7,3103420.0,69.8,67
2024-08-01,2024,8,2963150.0,69.19,64
2024-09-01,2024,9,2521010.0,66.82,62
2024-10-01,2024,10,2679180.0,69.11,68
2024-11-01,2024,11,3150240.0,72.71,72
2024-12-01,2024,12,3627440.0,79.79,81
