date,year_x,month_x,year_y,month_y,visitor_arrivals,hotel_occupancy,google_trends
2015-01-01,2015,1,2015,1,5609698.0,87.0,45
2015-02-01,2015,2,2015,2,5405689.0,86.0,40
2015-03-01,2015,3,2015,3,4405298.0,84.0,48
2015-04-01,2015,4,2015,4,4789112.0,85.0,49
2015-05-01,2015,5,2015,5,4756215.0,83.0,47
2015-06-01,2015,6,2015,6,4361228.0,83.0,44
2015-07-01,2015,7,2015,7,4923431.0,85.0,47
2015-08-01,2015,8,2015,8,5614852.0,91.0,47
2015-09-01,2015,9,2015,9,4558800.0,83.0,47
2015-10-01,2015,10,2015,10,5073494.0,90.0,48
2015-11-01,2015,11,2015,11,4748715.0,91.0,46
2015-12-01,2015,12,2015,12,5061064.0,89.0,43
2016-01-01,2016,1,2016,1,5225578.0,86.0,45
2016-02-01,2016,2,2016,2,4295731.0,78.0,43
2016-03-01,2016,3,2016,3,4213801.0,84.0,46
2016-04-01,2016,4,2016,4,4686316.0,88.0,48
2016-05-01,2016,5,2016,5,4453118.0,82.0,46
2016-06-01,2016,6,2016,6,4285730.0,84.0,49
2016-07-01,2016,7,2016,7,5049022.0,88.0,47
2016-08-01,2016,8,2016,8,5086496.0,90.0,47
2016-09-01,2016,9,2016,9,4422441.0,87.0,49
2016-10-01,2016,10,2016,10,4953705.0,91.0,51
2016-11-01,2016,11,2016,11,4646938.0,94.0,48
2016-12-01,2016,12,2016,12,5336027.0,92.0,46
2017-01-01,2017,1,2017,1,5475176.0,87.0,46
2017-02-01,2017,2,2017,2,4181417.0,87.0,46
2017-03-01,2017,3,2017,3,4586186.0,90.0,46
2017-04-01,2017,4,2017,4,4775834.0,89.0,47
2017-05-01,2017,5,2017,5,4587014.0,84.0,45
2017-06-01,2017,6,2017,6,4203256.0,87.0,46
2017-07-01,2017,7,2017,7,5167700.0,90.0,47
2017-08-01,2017,8,2017,8,5023433.0,91.0,47
2017-09-01,2017,9,2017,9,4635161.0,87.0,47
2017-10-01,2017,10,2017,10,5278677.0,92.0,47
2017-11-01,2017,11,2017,11,4971119.0,95.0,51
2017-12-01,2017,12,2017,12,5587184.0,92.0,45
2018-01-01,2018,1,2018,1,5333562.0,92.0,48
2018-02-01,2018,2,2018,2,5280971.0,90.0,43
2018-03-01,2018,3,2018,3,4995122.0,93.0,48
2018-04-01,2018,4,2018,4,5301602.0,92.0,45
2018-05-01,2018,5,2018,5,4953003.0,88.0,47
2018-06-01,2018,6,2018,6,4741779.0,90.0,43
2018-07-01,2018,7,2018,7,5461222.0,91.0,43
2018-08-01,2018,8,2018,8,5895951.0,94.0,44
2018-09-01,2018,9,2018,9,4718536.0,86.0,56
2018-10-01,2018,10,2018,10,5884512.0,92.0,50
2018-11-01,2018,11,2018,11,5995027.0,95.0,47
2018-12-01,2018,12,2018,12,6586268.0,94.0,46
2019-01-01,2019,1,2019,1,6784406.0,92.0,47
2019-02-01,2019,2,2019,2,5589628.0,91.0,43
2019-03-01,2019,3,2019,3,5860346.0,92.0,48
2019-04-01,2019,4,2019,4,5577201.0,89.0,45
2019-05-01,2019,5,2019,5,5916541.0,88.0,42
2019-06-01,2019,6,2019,6,5143734.0,87.0,63
2019-07-01,2019,7,2019,7,5196969.0,86.0,58
2019-08-01,2019,8,2019,8,3590571.0,66.0,100
2019-09-01,2019,9,2019,9,3104049.0,63.0,59
2019-10-01,2019,10,2019,10,3311571.0,68.0,65
2019-11-01,2019,11,2019,11,2646127.0,66.0,69
2019-12-01,2019,12,2019,12,3191466.0,61.0,44
2020-01-01,2020,1,2020,1,3207802.0,59.0,41
2020-02-01,2020,2,2020,2,199123.0,29.0,36
2020-03-01,2020,3,2020,3,82285.0,32.0,32
2020-04-01,2020,4,2020,4,4125.0,34.0,28
2020-05-01,2020,5,2020,5,8139.0,37.0,34
2020-06-01,2020,6,2020,6,14606.0,44.0,31
2020-07-01,2020,7,2020,7,20568.0,49.0,33
2020-08-01,2020,8,2020,8,4449.0,50.0,23
2020-09-01,2020,9,2020,9,9132.0,52.0,23
2020-10-01,2020,10,2020,10,7817.0,55.0,22
2020-11-01,2020,11,2020,11,5962.0,54.0,22
2020-12-01,2020,12,2020,12,4867.0,58.0,22
2021-01-01,2021,1,2021,1,4368.0,51.0,20
2021-02-01,2021,2,2021,2,5495.0,52.0,19
2021-03-01,2021,3,2021,3,6675.0,52.0,21
2021-04-01,2021,4,2021,4,5706.0,57.0,23
2021-05-01,2021,5,2021,5,5305.0,58.0,22
2021-06-01,2021,6,2021,6,6200.0,64.0,22
2021-07-01,2021,7,2021,7,8666.0,67.0,23
2021-08-01,2021,8,2021,8,10811.0,71.0,22
2021-09-01,2021,9,2021,9,9879.0,71.0,21
2021-10-01,2021,10,2021,10,9353.0,71.0,21
2021-11-01,2021,11,2021,11,9492.0,70.0,21
2021-12-01,2021,12,2021,12,9448.0,72.0,21
2022-01-01,2022,1,2022,1,7064.0,57.0,20
2022-02-01,2022,2,2022,2,2626.0,55.0,21
2022-03-01,2022,3,2022,3,1800.0,59.0,22
2022-04-01,2022,4,2022,4,4692.0,65.0,20
2022-05-01,2022,5,2022,5,18710.0,70.0,20
2022-06-01,2022,6,2022,6,41112.0,75.0,23
2022-07-01,2022,7,2022,7,48048.0,75.0,23
2022-08-01,2022,8,2022,8,59610.0,72.0,26
2022-09-01,2022,9,2022,9,66037.0,67.0,32
2022-10-01,2022,10,2022,10,80524.0,59.0,22
2022-11-01,2022,11,2022,11,113763.0,66.0,22
2022-12-01,2022,12,2022,12,160578.0,72.0,23
2023-01-01,2023,1,2023,1,498689.0,66.0,26
2023-02-01,2023,2,2023,2,1461969.0,78.0,30
