date,year,month,visitor_arrivals,hotel_occupancy,google_trends
2015-01-01,2015,1,1208332,81.2,96
2015-02-01,2015,2,1231689,83.7,83
2015-03-01,2015,3,1164117,83.2,92
2015-04-01,2015,4,1213484,80.8,98
2015-05-01,2015,5,1257957,82.5,92
2015-06-01,2015,6,1255519,83.8,88
2015-07-01,2015,7,1298509,89.9,100
2015-08-01,2015,8,1336780,90.7,93
2015-09-01,2015,9,1284828,81.4,98
2015-10-01,2015,10,1315213,86.6,92
2015-11-01,2015,11,1319098,82.9,88
2015-12-01,2015,12,1339754,80.0,86
2016-01-01,2016,1,1362156,82.7,87
2016-02-01,2016,2,1371886,84.3,79
2016-03-01,2016,3,1369139,83.4,89
2016-04-01,2016,4,1394075,85.0,84
2016-05-01,2016,5,1396638,83.0,85
2016-06-01,2016,6,1350002,79.8,86
2016-07-01,2016,7,1376599,90.5,86
2016-08-01,2016,8,1367495,87.2,83
2016-09-01,2016,9,1294472,80.3,85
2016-10-01,2016,10,1307088,80.5,79
2016-11-01,2016,11,1353021,81.5,83
2016-12-01,2016,12,1425751,79.6,85
2017-01-01,2017,1,1420918,81.8,86
2017-02-01,2017,2,1414296,88.0,84
2017-03-01,2017,3,1443018,84.7,85
2017-04-01,2017,4,1462555,85.1,87
2017-05-01,2017,5,1414603,82.3,84
2017-06-01,2017,6,1422128,83.8,83
2017-07-01,2017,7,1436071,91.5,89
2017-08-01,2017,8,1440413,89.4,88
2017-09-01,2017,9,1483838,84.3,87
2017-10-01,2017,10,1482725,83.1,85
2017-11-01,2017,11,1524346,85.2,91
2017-12-01,2017,12,1494200,79.6,87
2018-01-01,2018,1,1515147,83.4,97
2018-02-01,2018,2,1536133,88.0,81
2018-03-01,2018,3,1539214,87.2,92
2018-04-01,2018,4,1537575,85.2,89
2018-05-01,2018,5,1538618,82.6,87
2018-06-01,2018,6,1566298,85.5,90
2018-07-01,2018,7,1530173,92.4,92
2018-08-01,2018,8,1560404,91.5,85
2018-09-01,2018,9,1575281,85.3,87
2018-10-01,2018,10,1551782,86.4,87
2018-11-01,2018,11,1527695,84.9,85
2018-12-01,2018,12,1536231,80.7,78
2019-01-01,2019,1,1581363,84.7,89
2019-02-01,2019,2,1542928,88.5,82
2019-03-01,2019,3,1512145,84.3,89
2019-04-01,2019,4,1603441,85.4,84
2019-05-01,2019,5,1566316,82.0,82
2019-06-01,2019,6,1558874,86.1,90
2019-07-01,2019,7,1577079,93.9,87
2019-08-01,2019,8,1617311,92.4,92
2019-09-01,2019,9,1615072,87.1,91
2019-10-01,2019,10,1616859,86.9,85
2019-11-01,2019,11,1661014,88.8,90
2019-12-01,2019,12,1664421,83.0,90
2020-01-01,2020,1,1640606,83.0,89
2020-02-01,2020,2,742043,49.1,69
2020-03-01,2020,3,226770,40.2,64
2020-04-01,2020,4,766,40.4,27
2020-05-01,2020,5,882,59.3,27
2020-06-01,2020,6,2330,57.0,29
2020-07-01,2020,7,5953,66.4,31
2020-08-01,2020,8,8249,64.8,29
2020-09-01,2020,9,10550,63.1,30
2020-10-01,2020,10,14188,57.6,31
2020-11-01,2020,11,16031,54.2,30
2020-12-01,2020,12,23601,62.0,31
2021-01-01,2021,1,24267,44.3,27
2021-02-01,2021,2,18662,44.2,26
2021-03-01,2021,3,26543,51.4,30
2021-04-01,2021,4,26757,52.7,30
2021-05-01,2021,5,13837,52.9,28
2021-06-01,2021,6,10178,54.6,28
2021-07-01,2021,7,15623,56.1,30
2021-08-01,2021,8,14742,56.1,29
2021-09-01,2021,9,20949,65.1,30
2021-10-01,2021,10,25520,64.4,38
2021-11-01,2021,11,44868,78.0,47
2021-12-01,2021,12,91601,74.3,47
2022-01-01,2022,1,58101,57.5,43
2022-02-01,2022,2,69427,62.7,52
2022-03-01,2022,3,116971,60.6,62
2022-04-01,2022,4,307192,66.4,70
2022-05-01,2022,5,424578,72.8,72
2022-06-01,2022,6,567870,78.1,76
2022-07-01,2022,7,620447,79.1,77
2022-08-01,2022,8,679214,77.1,77
2022-09-01,2022,9,842506,82.8,77
2022-10-01,2022,10,863327,84.4,75
2022-11-01,2022,11,893231,85.8,68
2022-12-01,2022,12,918340,78.2,69
2023-01-01,2023,1,919120,71.3,73
2023-02-01,2023,2,988791,85.1,77
2023-03-01,2023,3,976969,80.0,73
2023-04-01,2023,4,1130134,79.0,75
2023-05-01,2023,5,1177818,80.7,73
2023-06-01,2023,6,1171920,81.1,80
2023-07-01,2023,7,1197020,90.3,83
2023-08-01,2023,8,1211585,86.3,74
2023-09-01,2023,9,1214558,82.7,74
2023-10-01,2023,10,1191217,77.7,68
2023-11-01,2023,11,1212942,78.3,70
2023-12-01,2023,12,1222485,73.9,68
2024-01-01,2024,1,1439569,78.2,72
2024-02-01,2024,2,1436562,83.3,71
2024-03-01,2024,3,1403706,83.5,77
2024-04-01,2024,4,1350161,78.1,71
2024-05-01,2024,5,1346214,78.9,89
2024-06-01,2024,6,1297310,77.2,73
2024-07-01,2024,7,1348400,89.5,70
2024-08-01,2024,8,1410318,87.8,71
2024-09-01,2024,9,1362487,83.1,73
2024-10-01,2024,10,1391735,81.2,71
2024-11-01,2024,11,1368859,81.9,76
2024-12-01,2024,12,1387147,75.3,81
